Title,Link,Runtime,Genres,Parental Guidelines,Stars
Ginny & Georgia,http://www.imdb.com/title/tt10813940,,"['Comedy', 'Drama']",TV-14,"['BrianneHowey', 'AntoniaGentry', 'FelixMallard', 'SaraWaisglass']"
Your Honor,http://www.imdb.com/title/tt7440726,57 min,"['Crime', 'Drama', 'Thriller']",TV-MA,"['BryanCranston', 'HopeDavis', 'MichaelStuhlbarg', 'LilliKay']"
Almost Paradise,http://www.imdb.com/title/tt11266702,45 min,"['Action', 'Crime', 'Drama']",TV-PG,"['ChristianKane', 'SamanthaRichelle', 'ArthurAcuña', 'NonieBuencamino']"
Emily in Paris,http://www.imdb.com/title/tt8962124,30 min,"['Comedy', 'Drama', 'Romance']",TV-MA,"['LilyCollins', 'PhilippineLeroy-Beaulieu', 'AshleyPark', 'SamuelArnold']"
How to with John Wilson,http://www.imdb.com/title/tt10801534,30 min,"['Documentary', 'Comedy']",TV-MA,"['JohnWilson', 'KyleMacLachlan', 'JustinA.Martell', 'NikoNelson']"
The Upshaws,http://www.imdb.com/title/tt10945036,30 min,['Comedy'],TV-14,"['MikeEpps', 'KimFields', 'KhaliSpraggins', 'WandaSykes']"
The Outsider,http://www.imdb.com/title/tt8550800,60 min,"['Crime', 'Drama', 'Horror']",TV-MA,"['BenMendelsohn', 'BillCamp', 'JeremyBobb', 'MareWinningham']"
Star Wars: The Bad Batch,http://www.imdb.com/title/tt12708542,,"['Animation', 'Action', 'Adventure']",TV-PG,"['Ming-NaWen', 'DeeBradleyBaker', 'MichelleAng', 'NoshirDalal']"
Walker,http://www.imdb.com/title/tt11006642,42 min,"['Action', 'Crime', 'Drama']",TV-14,"['JaredPadalecki', 'MollyHagan', 'KeeganAllen', 'VioletBrinson']"
FBI: Most Wanted,http://www.imdb.com/title/tt9742936,45 min,"['Action', 'Crime', 'Drama']",TV-14,"['RoxySternberg', 'KeishaCastle-Hughes', 'AlexaDavalos', 'JulianMcMahon']"
Big Sky,http://www.imdb.com/title/tt11794642,60 min,"['Crime', 'Drama', 'Mystery']",TV-14,"['KatherynWinnick', 'KylieBunbury', 'DedeePfeiffer', 'J.AnthonyPena']"
Firefly Lane,http://www.imdb.com/title/tt9012876,,"['Drama', 'Romance']",TV-MA,"['KatherineHeigl', 'SarahChalke', 'BenLawson', 'AliSkovbye']"
American Horror Stories,http://www.imdb.com/title/tt12306692,45 min,"['Drama', 'Horror', 'Mystery']",TV-MA,"['SierraMcCormick', 'ParisJackson', 'MerrinDungey', 'SelenaSloan']"
Swagger,http://www.imdb.com/title/tt8005626,60 min,"['Drama', 'Sport']",TV-14,"[""O'SheaJacksonJr."", 'IsaiahR.Hill', 'ShinelleAzoroh', 'TessaFerrer']"
Hunters,http://www.imdb.com/title/tt7456722,60 min,"['Crime', 'Drama', 'Mystery']",TV-MA,"['AlPacino', 'LoganLerman', 'LenaOlin', 'JoshRadnor']"
Nine Perfect Strangers,http://www.imdb.com/title/tt8760932,388 min,"['Drama', 'Mystery', 'Thriller']",TV-MA,"['NicoleKidman', 'MelissaMcCarthy', 'MichaelShannon', 'LukeEvans']"
Upload,http://www.imdb.com/title/tt7826376,30 min,"['Comedy', 'Mystery', 'Sci-Fi']",TV-MA,"['RobbieAmell', 'AndyAllo', 'AllegraEdwards', 'ZainabJohnson']"
Sweet Tooth,http://www.imdb.com/title/tt12809988,50 min,"['Action', 'Adventure', 'Drama']",TV-14,"['NonsoAnozie', 'ChristianConvery', 'AdeelAkhtar', 'StefaniaLaVieOwen']"
